ID,Nombre completo,Fecha de nacimiento,Dirección,Localidad y Código postal,Teléfono,Correo electrónico,Fecha de alta,Grupo de clientes,Edad
C0001,LEANDRA ANNA MALO ALBA,1984-12-08,7943 S. FIFTH STREET,"BERGENFIELD, NJ 07621",(598) 451-5865,URAEUS@MAC.COM,2012-01-19 14:32:31,I,40
C0002,SEVERO GRANADOS IGLESIA,1986-08-12,77 LYME STREET,"HERMITAGE, TN 37076",(869) 771-1487,BHIMA@ME.COM,2005-03-22 15:42:12,E,38
C0003,LUCHO ANDREU AMAT,1990-04-16,9448 FAIRFIELD ST.,"ABERDEEN, SD 57401",(246) 245-7306,PSICHEL@SBCGLOBAL.NET,2007-09-15 03:01:11,E,34
C0004,MATÍAS MAURICIO CASTILLO BARRERA,1996-12-02,8143 COLLEGE ST.,"TRUSSVILLE, AL 35173",(707) 933-2513,TBECK@OPTONLINE.NET,2011-12-07 15:22:50,E,28
C0005,MAURICIO GUIJARRO CASTELLÓ,1984-05-14,9893 W. VALE AVE.,"BILLINGS, MT 59101",(612) 325-0216,EEGSA@YAHOO.CA,2008-06-28 06:58:06,I,40
C0006,ISAURA LEYRE AVILÉS PELAYO,1987-04-18,8094 ALBANY DRIVE,"POUGHKEEPSIE, NY 12601",(992) 564-5230,BARLOW@VERIZON.NET,2008-04-26 20:18:11,E,37
C0007,SORAYA MORERA-LAGO,1990-11-27,9001 CREEK STREET,"LAWRENCE, MA 01841",(651) 544-1246,WKREBS@ME.COM,2019-10-08 16:04:43,I,34
C0008,VICTORIANO TAPIA-CABANILLAS,1981-03-06,57 GREEN DRIVE,"FAIR LAWN, NJ 07410",(851) 782-6044,DLECONTE@OUTLOOK.COM,2009-08-16 08:37:17,I,43
C0009,NIDIA SAEZ CAMPOY,1980-04-28,86 SURREY ST.,"KENNEWICK, WA 99337",(265) 609-6654,FLAKEG@VERIZON.NET,2013-01-05 21:49:51,E,44
C0010,TEÓFILA VILLANUEVA MOLINA,1987-01-04,8728 BOSTON STREET,"REGO PARK, NY 11374",(305) 491-4988,SLAFF@ICLOUD.COM,2007-12-29 03:29:10,E,37
C0011,TRINI DE ALBERDI,1990-12-04,45 HERITAGE AVE.,"FALL RIVER, MA 02720",(561) 649-7485,UNCLE@HOTMAIL.COM,2013-08-27 18:19:05,E,34
C0012,DANI BAENA,1977-10-20,9334 HILLSIDE STREET,"GRAND BLANC, MI 48439",(966) 735-9451,VSPRINTF@HOTMAIL.COM,2012-02-24 00:45:58,I,47
C0013,ANGELINA DE ARREGUI,2000-02-21,611 ACADEMY STREET,"DALTON, GA 30721",(711) 282-2848,CHINTHAKA@YAHOO.CA,2014-12-24 11:02:48,I,24
C0014,SAMUEL DE CARRANZA,1999-05-16,7201 MILL STREET,"MARCUS HOOK, PA 19061",(337) 397-0627,NTEGRITY@OPTONLINE.NET,2016-10-29 06:44:12,I,25
C0015,JACINTA MONTENEGRO GARCÉS,1994-03-13,59 RIDGEWOOD AVE.,"REYNOLDSBURG, OH 43068",(969) 383-4277,YANGYAN@YAHOO.CA,2007-04-06 06:15:53,I,30
C0016,LISANDRO DELGADO NADAL,1980-04-18,270 WEST GREEN LAKE ST.,"LOUISVILLE, KY 40207",(748) 495-1748,ILYAZ@ME.COM,2019-11-10 01:09:21,E,44
C0017,SAMANTA MANJÓN GODOY,1980-03-03,9481 S. CHESTNUT ST.,"MORRISTOWN, NJ 07960",(494) 813-5651,NJPAYNE@HOTMAIL.COM,2017-01-18 14:05:59,I,44
C0018,ALBANO TEODOSIO CAÑETE ROSA,1981-04-04,7 N. ANNADALE STREET,"EUGENE, OR 97402",(779) 217-3175,RALAMOSM@GMAIL.COM,2010-05-12 03:57:39,I,43
C0019,ABEL VILLANUEVA,1988-06-12,88 PHEASANT RD.,"BRIDGETON, NJ 08302",(904) 204-2255,BARTAK@SBCGLOBAL.NET,2012-02-24 07:39:03,I,36
C0020,BIENVENIDA PULIDO CÓZAR,1994-01-21,8 GALVIN STREET,"SEYMOUR, IN 47274",(932) 307-3409,IMPROV@ME.COM,2016-05-16 09:09:06,I,30
C0021,PATRICIO MANZANO POMARES,1979-07-01,9 MARCONI ROAD,"EASTPOINTE, MI 48021",(993) 960-7653,ARNOLD@LIVE.COM,2018-02-16 13:16:06,I,45
C0022,MODESTO DE CASARES,1975-12-13,8842 OLD VAN DYKE AVE.,"NANUET, NY 10954",(611) 927-0572,ISMAIL@COMCAST.NET,2019-02-26 09:13:45,I,49
C0023,BERTO DEL MORALES,1987-10-30,471 S. CAMBRIDGE DRIVE,"FAIRBORN, OH 45324",(283) 384-7846,WILSONPM@AOL.COM,2005-02-19 02:21:21,I,37
C0024,NURIA DANIELA JÁUREGUI TEJERO,1979-07-02,9 MILITARY DR.,"YUBA CITY, CA 95993",(677) 875-1069,BARJAM@ICLOUD.COM,2014-04-02 18:30:12,E,45
C0025,ANASTASIA PEDRERO SOLERA,1986-08-29,8388 PHEASANT STREET,"POWDER SPRINGS, GA 30127",(886) 929-9282,MICHIEL@MSN.COM,2012-09-07 03:07:25,E,38
C0026,PURIFICACIÓN SALOMÉ FERRÁN VALERO,1984-09-29,221 DOGWOOD DR.,"EL PASO, TX 79930",(596) 660-5408,GAMMA@HOTMAIL.COM,2010-07-02 15:05:54,I,40
C0027,MELANIA COBOS LOZANO,1989-04-15,911 CHARLES ST.,"EAST LANSING, MI 48823",(768) 242-5793,DHRAKAR@LIVE.COM,2019-05-08 12:01:44,I,35
C0028,EVANGELINA FONT LAGO,1978-03-26,176 HENRY SMITH AVE.,"WESTLAND, MI 48185",(483) 388-3044,THEMER@ICLOUD.COM,2013-11-20 20:03:36,I,46
C0029,OTILIA MERCADER JIMENEZ,1986-06-21,323 1ST ST.,"SALT LAKE CITY, UT 84119",(525) 814-4351,LEOCHARRE@ME.COM,2016-11-13 14:53:01,I,38
C0030,NADIA REYES-BOSCH,1997-03-14,8127 PAWNEE LANE,"PIKESVILLE, MD 21208",(872) 458-4785,KEWLEY@ICLOUD.COM,2013-05-28 12:57:09,E,27
C0031,MIREIA CÓRDOBA PI,1993-10-21,7813 HELEN AVE.,"WEST SPRINGFIELD, MA 01089",(600) 318-8808,MURDOCJ@MAC.COM,2006-01-11 00:48:42,I,31
C0032,MELISA RUEDA ROSADO,1970-09-28,353 CANTERBURY DR.,"MAHWAH, NJ 07430",(437) 406-2974,WEBINC@MSN.COM,2017-03-30 18:22:22,E,54
C0033,TRINI SANABRIA-FRÍAS,1989-05-22,61 ADDISON DR.,"PARK FOREST, IL 60466",(615) 712-3381,MRSAM@YAHOO.CA,2017-01-19 19:23:03,I,35
C0034,LUCÍA MANOLA BRIONES JOVE,1993-11-28,810 WEST MILL ST.,"WESTFIELD, MA 01085",(651) 742-1141,SASSEN@AOL.COM,2015-02-07 19:05:19,E,31
C0035,NATALIO PEREIRA BARRIO,1970-09-19,51 MAYFAIR COURT,"DOTHAN, AL 36301",(517) 690-8580,EMMANUEL@ATT.NET,2007-01-11 15:36:52,I,54
C0036,NEREA ALCALDE SOLÉ,1984-02-03,840 OAK MEADOW AVE.,"KLAMATH FALLS, OR 97603",(616) 766-2111,NAOYA@MAC.COM,2006-08-17 09:46:10,E,40
C0037,GRACIA GOICOECHEA ALBA,1980-12-10,257 PHEASANT DRIVE,"HIALEAH, FL 33010",(685) 726-6159,SLANGLOIS@HOTMAIL.COM,2021-03-23 13:49:08,E,44
C0038,TOÑO HIDALGO BLÁZQUEZ,1988-11-24,30 N. PARK AVENUE,"HOWARD BEACH, NY 11414",(737) 772-3449,IMPROV@COMCAST.NET,2009-09-07 05:50:50,E,36
C0039,CÁNDIDA SEDANO JIMÉNEZ,1981-04-16,850 SCHOOL ST.,"WHEATON, IL 60187",(876) 612-6879,NONEME@ME.COM,2011-05-14 08:38:29,E,43
C0040,EUTIMIO BARREDA COBOS,1999-05-09,59 ATLANTIC AVE.,"GALLATIN, TN 37066",(669) 791-3350,MAJORDICK@YAHOO.COM,2009-01-05 00:19:10,I,25
C0041,ROSARIO YUSTE FALCÓN,1986-06-24,74 BROADWAY,MILTON KEYNES,(642) 368-4225,RGIERSIG@VERIZON.NET,2010-12-22 07:16:47,I,38
C0042,ENCARNACION ESPAÑOL OCAÑA,1985-03-25,MK9 3EN,21 MILL ROAD,(953) 901-9132,SMARTFART@AOL.COM,2020-11-06 06:49:18,I,39
C0043,MAGDALENA VILAPLANA ESTEVE,1991-09-26,CREWE,CW90 4ZA,(869) 720-8135,JMGOMEZ@VERIZON.NET,2014-07-14 01:35:54,I,33
C0044,ADELARDO NOVOA,1985-06-12,674 HIGH STREET,CANTERBURY,(319) 633-9396,MSHERR@YAHOO.COM,2013-01-20 04:11:57,I,39
C0045,ADORACIÓN ROVIRA ZABALA,1977-10-25,CT76 6OB,10 RICHMOND ROAD,(731) 945-6687,KEUTZER@SBCGLOBAL.NET,2006-03-30 09:15:44,I,47
C0046,OVIDIO LAMAS,2000-03-09,DUNDEE,DD84 2WJ,(435) 742-6743,POLICIES@SBCGLOBAL.NET,2017-09-09 19:16:58,I,24
C0047,REYES JULIÁN NOGUÉS,1978-04-07,35 THE CRESCENT,SOUTH EAST LONDON,(684) 330-1830,HWESTIII@VERIZON.NET,2006-08-04 08:44:02,I,46
C0048,ADORACIÓN JURADO CLEMENTE,1976-12-08,SE42 3UM,44 SCHOOL LANE,(843) 248-6284,HSTILES@MAC.COM,2007-10-04 17:41:11,E,48
C0049,PLÁCIDO ZABALA FEIJOO,1979-01-19,DONCASTER,DN36 9AT,(390) 565-9213,XNORMAL@GMAIL.COM,2011-11-27 20:10:56,I,45
C0050,ABEL ALEX CUETO LÓPEZ,1974-09-07,94 THE AVENUE,BRIGHTON,(951) 953-8812,JGMYERS@ICLOUD.COM,2009-06-18 06:22:20,I,50
C0051,MIGUELA SANMIGUEL PAZ,1976-04-12,BN0 6LJ,290 ALBERT ROAD,(516) 909-2316,OECHSLIN@AOL.COM,2010-05-09 12:32:16,E,48
C0052,NARCISA VILLAVERDE MONTES,1998-11-17,STOCKPORT,SK35 8CV,(833) 629-5357,JUERD@OUTLOOK.COM,2020-06-28 10:41:36,I,26
C0053,LEONARDO ALLER BERMÚDEZ,1971-09-16,96 THE GREEN,WATFORD,(260) 680-9015,SKIPPY@ICLOUD.COM,2016-05-31 01:46:54,I,53
C0054,JAVIERA BARTOLOMÉ TORRENS,1992-06-15,WD65 4RB,9950 QUEEN STREET,(724) 882-6713,MEINKEJ@HOTMAIL.COM,2017-08-30 18:00:29,E,32
C0055,MARÍA CARMEN DE FUSTER,1973-08-28,WAKEFIELD,WF81 5TB,(663) 750-6940,STAFFELB@AOL.COM,2020-10-22 18:37:06,E,51
C0056,ADÁN FONSECA MARIN,1970-09-16,30 MAIN ROAD,NORTH WEST LONDON,(325) 631-2099,HECKERMAN@OPTONLINE.NET,2009-03-21 13:30:30,E,54
C0057,ADALBERTO DE FABRA,1989-12-23,NW96 2RV,9896 NEW ROAD,(594) 787-2465,RJONES@VERIZON.NET,2014-01-12 04:41:12,I,35
C0058,ROSALINDA JAUME ROMERO,1985-07-25,SHREWSBURY,SY49 2YJ,(720) 491-3517,PARRT@VERIZON.NET,2014-10-12 22:45:50,E,39
C0059,ABIGAÍL ENRÍQUEZ CARRERAS,1987-04-18,26 NORTH ROAD,EAST CENTRAL LONDON,(735) 587-8913,HAMPTON@ICLOUD.COM,2018-12-27 08:58:45,I,37
C0060,ÁFRICA MORCILLO,1999-02-21,EC18 9MF,146 CHURCH LANE,(295) 530-5752,CLAYPOOL@COMCAST.NET,2008-03-21 06:43:05,E,25
C0061,GILBERTO CÁRDENAS-ESPARZA,1976-03-16,LLANDRINDOD WELLS,LD87 1KV,(306) 906-7975,WSNYDER@LIVE.COM,2018-03-11 03:26:06,E,48
C0062,MARISELA POSADA JOVER,1991-05-21,70 GREEN LANE,KILMARNOCK,(452) 597-0784,MAGUSNET@AOL.COM,2014-04-30 02:14:52,I,33
C0063,BEGOÑA CLAUDIA COELLO ZABALETA,1971-05-11,KA97 3AD,9645 QUEENSWAY,(363) 441-6561,DANNENG@OPTONLINE.NET,2010-10-11 21:20:53,I,53
C0064,MARCOS ARREGUI SAINZ,1977-04-10,ROCHESTER,ME97 9GF,(550) 890-6346,SMALLPAUL@AOL.COM,2006-10-03 07:42:39,E,47
C0065,VENCESLÁS SASTRE PEÑALVER,1978-09-03,5 KINGSWAY,WARRINGTON,(906) 421-7305,STAIKOS@OPTONLINE.NET,2015-04-26 12:02:04,I,46
C0066,FEBE AMAYA,1980-07-12,WA48 9PQ,512 STANLEY ROAD,(977) 707-4772,BRYAM@OUTLOOK.COM,2009-02-21 03:36:20,I,44
C0067,QUIRINO GRANADOS VERDUGO,1992-12-19,BIRMINGHAM,B2 0LA,(871) 218-8630,CCOHEN@OPTONLINE.NET,2017-07-15 14:24:16,I,32
C0068,IMELDA DE PEREA,1977-11-09,3 CHURCH STREET,CARLISLE,(522) 326-9656,GEOFFR@AOL.COM,2006-10-28 00:45:18,I,47
C0069,ISIDORA DE CRESPI,1980-02-09,CA46 0YA,12 GEORGE STREET,(924) 599-2856,KLUDGE@COMCAST.NET,2006-02-12 20:24:35,I,44
C0070,BALDUINO MARTIN ÁGUILA,1992-10-22,REDHILL,RH45 1LV,(998) 710-2563,FRIKAZOYD@ATT.NET,2014-05-18 14:12:59,E,32
C0071,CASANDRA RAMÍREZ CANET,1976-09-18,2 MANCHESTER ROAD,SWANSEA,(319) 810-1693,SINGER@COMCAST.NET,2007-12-26 05:49:52,I,48
C0072,EUSTAQUIO VIGIL GIL,1973-03-28,SA65 3HD,84 NORTH STREET,(794) 504-1808,ROGERSPL@AOL.COM,2005-07-02 05:02:29,E,51
C0073,ELVIRA DEL ESPINOSA,2000-04-12,DUDLEY,DY65 3GJ,(493) 999-4390,DANZIGISM@YAHOO.CA,2012-09-23 17:37:42,I,24
C0074,PÍA HUERTAS MANZANARES,1972-02-17,9112 ST. JOHN’S ROAD,WALSALL,(804) 655-0207,EMPATHY@ATT.NET,2015-09-21 08:35:42,I,52
C0075,ALBERTO SALAS BÁEZ,1991-08-19,WS53 7IY,19 CHURCH ROAD,(554) 800-9842,JRIFKIN@MAC.COM,2015-08-18 14:55:16,I,33
C0076,SOL ROSALES CALVO,1982-08-07,SOUTH WEST LONDON,SW65 0GH,(548) 446-1387,SAGAL@ICLOUD.COM,2008-04-23 20:25:52,E,42
C0077,GUIOMAR FOLCH SANJUAN,1984-12-08,76 SOUTH STREET,NORWICH,(517) 369-6486,DURIST@SBCGLOBAL.NET,2019-05-03 01:05:48,I,40
C0078,NIDIA PARDO-NUÑEZ,1989-07-05,NR38 3VK,73 GROVE ROAD,(893) 798-8990,MSLOAN@MSN.COM,2011-01-06 04:45:29,E,35
